%  label: Fitness-sharing, 17/03/26 01-41-05
%  population_size: 2048
%  mutation_rate: 0.45
%  max_iterations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0.1
%  cuckoo_rate: 0.15
%  threads: 4
%  num_demes: 1
%  migration: 0.05
%  use_viscosity: true
%  outregs: [4, 5, 6]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd
%  fitness_sharing: true
%  fatal_crash: false

ITERATION,SEASON,AVG-GEN,AVG-FIT,AVG-ABFIT,MIN-FIT,MIN-ABFIT,CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
1,0,0.0009765625,0.98847455,0.6666667,0.98847455,0.6666667,1,0,0.98847455,0.6666667,1,16.447266,29,0.9995117
2,0,0.001953125,0.80480045,0.6666667,0.4444447,0.6666667,0.6666667,0,0.98847455,0.6666667,1,16.436523,29,0.99853516
3,0,0.0029296875,0.76541984,0.6666667,0.4444447,0.6666667,0.6,0,0.98847455,0.6666667,1,16.425293,29,0.9975586
4,0,0.00390625,0.7504323,0.6666666,0.4444447,0.6666667,0.5714286,0,0.98847455,0.6666667,1,16.416016,29,0.99658203
5,0,0.0048828125,0.68243504,0.6666666,0.4444447,0.6666667,0.44444445,0,0.98847455,0.6666667,1,16.405762,29,0.99560547
6,0,0.005859375,0.63916403,0.66666657,0.4444447,0.6666667,0.36363637,0,0.98847455,0.6666667,1,16.41504,29,0.9946289
7,0,0.0068359375,0.65097106,0.6666666,0.4444447,0.6666667,0.3846154,0,0.98847455,0.6666667,1,16.409668,29,0.99365234
8,0,0.0078125,0.6234342,0.6666667,0.4444447,0.6666667,0.33333334,0,0.98847455,0.6666667,1,16.434082,29,0.9926758
9,0,0.0087890625,0.6023766,0.6666667,0.4444447,0.6666667,0.29411766,0,0.98847455,0.6666667,1,16.436035,29,0.9916992
10,0,0.009765625,0.5857522,0.66666675,0.4444447,0.6666667,0.2631579,0,0.98847455,0.6666667,1,16.438477,29,0.99072266
11,0,0.0107421875,0.57229435,0.66666675,0.4444447,0.6666667,0.23809524,0,0.98847455,0.6666667,1,16.43164,29,0.9897461
12,0,0.01171875,0.58443147,0.6666668,0.4444447,0.6666667,0.26086956,0,0.98847455,0.6666667,1,16.413574,29,0.98876953
13,0,0.0126953125,0.5999695,0.67413336,0.4444447,0.6666667,0.28,0,0.98847455,0.6666667,1,16.394531,29,0.98779297
14,0,0.013671875,0.5939878,0.6738462,0.4444447,0.6666667,0.26923078,0,0.98847455,0.6666667,1,16.385742,29,0.9873047
15,0,0.0146484375,0.5833062,0.6733333,0.4444447,0.6666667,0.25,0,0.98847455,0.6666667,1,16.378906,29,0.9863281
16,0,0.015625,0.57404876,0.6728888,0.4444447,0.6666667,0.23333333,0,0.98847455,0.6666667,1,16.362793,29,0.98535156
17,0,0.016601563,0.5829322,0.6724999,0.4444447,0.6666667,0.25,0,0.98847455,0.6666667,1,16.358398,29,0.984375
18,0,0.017578125,0.59506553,0.6723231,0.4444447,0.6666667,0.27272728,0,0.98847455,0.6666667,1,16.368164,29,0.9838867
19,0,0.018554688,0.5864586,0.6719999,0.4444447,0.6666667,0.25714287,0,0.98847455,0.6666667,1,16.350586,29,0.98291016
20,0,0.01953125,0.5787822,0.67171156,0.4444447,0.6666667,0.24324325,0,0.98847455,0.6666667,1,16.353516,29,0.9819336
21,0,0.020507813,0.5787822,0.67171156,0.4444447,0.6666667,0.24324325,0,0.98847455,0.6666667,1,16.338867,29,0.9819336
22,0,0.021484375,0.575247,0.67157876,0.4444447,0.6666667,0.23684211,0,0.98847455,0.6666667,1,16.330566,29,0.9814453
23,0,0.022460938,0.56870687,0.67133313,0.4444447,0.6666667,0.225,0,0.98847455,0.6666667,1,16.325684,29,0.98046875
24,0,0.0234375,0.57572776,0.67111087,0.4444447,0.6666667,0.23809524,0,0.98847455,0.6666667,1,16.314941,29,0.9794922
25,0,0.024414063,0.5726747,0.6710075,0.4444447,0.6666667,0.23255815,0,0.98847455,0.6666667,1,16.317871,29,0.9790039
26,0,0.025390625,0.5669756,0.6708146,0.4444447,0.6666667,0.22222222,0,0.98847455,0.6666667,1,16.298828,29,0.97802734
27,0,0.026367188,0.5617615,0.670638,0.4444447,0.6666667,0.21276596,0,0.98847455,0.6666667,1,16.313965,29,0.9770508
28,0,0.02734375,0.56762147,0.67047596,0.4444447,0.6666667,0.2244898,0,0.98847455,0.6666667,1,16.30371,29,0.9760742
29,0,0.029296875,0.562791,0.6703266,0.4444447,0.6666667,0.21568628,0,0.98847455,0.6666667,1,16.282227,29,0.97509766
30,0,0.030273438,0.5686759,0.67018855,0.4444447,0.6666667,0.2264151,0,0.98847455,0.6666667,1,16.276855,29,0.9741211
