%  label: Fitness-sharing, 17/03/26 02-06-08
%  population_size: 2048
%  mutation_rate: 0.45
%  max_iterations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0.1
%  cuck_rate: 0.15
%  threads: 4
%  num_demes: 1
%  migration: 0.05
%  use_viscosity: true
%  outregs: [4, 5, 6]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd
%  fitness_sharing: true
%  fatal_crash: false

ITERATION,SEASON,AVG-GEN,AVG-FIT,AVG-ABFIT,MIN-FIT,MIN-ABFIT,CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
1,0,0.0009765625,0.99074113,0.6666667,0.98148227,0.6666667,1,0,0.98148227,0.6666667,1,16.379883,6,0.99902344
2,0,0.001953125,0.8086423,0.6666667,0.4444447,0.6666667,0.6666667,0,0.98148227,0.6666667,1,16.375977,6,0.99853516
3,0,0.0029296875,0.6629633,0.6666667,0.4444447,0.6666667,0.4,0,0.98148227,0.6666667,1,16.368652,6,0.9975586
4,0,0.00390625,0.7566141,0.6666666,0.4444447,0.6666667,0.5714286,0,0.98148227,0.6666667,1,16.34375,6,0.99658203
5,0,0.0048828125,0.8062245,0.6666666,0.4444447,0.6666667,0.6666667,0,0.98148227,0.6666667,1,16.340332,6,0.99560547
6,0,0.005859375,0.7404463,0.66666657,0.4444447,0.6666667,0.54545456,0,0.98148227,0.6666667,1,16.339355,6,0.9946289
7,0,0.0068359375,0.6949077,0.6666666,0.4444447,0.6666667,0.46153846,0,0.98148227,0.6666667,1,16.350586,6,0.99365234
8,0,0.0078125,0.6770175,0.6666666,0.4444447,0.6666667,0.42857143,0,0.98148227,0.6666667,1,16.35791,6,0.99316406
9,0,0.0087890625,0.6479459,0.6666667,0.4444447,0.6666667,0.375,0,0.98148227,0.6666667,1,16.35498,6,0.9921875
10,0,0.009765625,0.68494135,0.66666675,0.4444447,0.6666667,0.44444445,0,0.98148227,0.6666667,1,16.347168,6,0.99121094
11,0,0.0107421875,0.67228365,0.66666675,0.4444447,0.6666667,0.42105263,0,0.98148227,0.6666667,1,16.345703,6,0.99072266
12,0,0.01171875,0.6505847,0.66666675,0.4444447,0.6666667,0.3809524,0,0.98148227,0.6666667,1,16.342285,6,0.9897461
13,0,0.0126953125,0.63265944,0.6666668,0.4444447,0.6666667,0.3478261,0,0.98148227,0.6666667,1,16.33252,6,0.98876953
14,0,0.013671875,0.63664985,0.66666675,0.4444447,0.6666667,0.36,0,0.98148227,0.6666667,1,16.330566,6,0.98779297
15,0,0.0146484375,0.62241244,0.6666667,0.4444447,0.6666667,0.33333334,0,0.98148227,0.6666667,1,16.333984,6,0.9868164
16,0,0.015625,0.646953,0.6666666,0.4444447,0.6666667,0.37931034,0,0.98148227,0.6666667,1,16.331543,6,0.98583984
17,0,0.017578125,0.63388795,0.66666657,0.4444447,0.6666667,0.3548387,0,0.98148227,0.6666667,1,16.333984,6,0.9848633
18,0,0.018554688,0.6372405,0.66666657,0.4444447,0.6666667,0.36363637,0,0.98148227,0.6666667,1,16.333008,6,0.9838867
19,0,0.01953125,0.6262236,0.6666665,0.4444447,0.6666667,0.34285715,0,0.98148227,0.6666667,1,16.316895,6,0.98291016
20,0,0.020507813,0.62099075,0.6666665,0.4444447,0.6666667,0.33333334,0,0.98148227,0.6666667,1,16.30957,6,0.9824219
21,0,0.021484375,0.6162192,0.6666665,0.4444447,0.6666667,0.3243243,0,0.98148227,0.6666667,1,16.29834,6,0.9819336
22,0,0.022460938,0.6074103,0.66666645,0.4444447,0.6666667,0.30769232,0,0.98148227,0.6666667,1,16.305176,6,0.98095703
23,0,0.0234375,0.5994607,0.66666645,0.4444447,0.6666667,0.29268292,0,0.98148227,0.6666667,1,16.3042,6,0.97998047
24,0,0.024414063,0.6048983,0.66666645,0.4444447,0.6666667,0.30232558,0,0.98148227,0.6666667,1,16.300781,6,0.9790039
25,0,0.025390625,0.597767,0.6666664,0.4444447,0.6666667,0.2888889,0,0.98148227,0.6666667,1,16.311035,6,0.97802734
26,0,0.025878906,0.5912427,0.6666664,0.4444447,0.6666667,0.27659574,0,0.98148227,0.6666667,1,16.323242,6,0.9770508
27,0,0.026855469,0.5852509,0.6666664,0.4444447,0.6666667,0.26530612,0,0.98148227,0.6666667,1,16.318848,6,0.9760742
28,0,0.028808594,0.58981544,0.66666645,0.4444447,0.6666667,0.27450982,0,0.98148227,0.6666667,1,16.317871,6,0.97509766
29,0,0.029785156,0.5843297,0.6666665,0.4444447,0.6666667,0.26415095,0,0.98148227,0.6666667,1,16.332031,6,0.9741211
30,0,0.030761719,0.5987762,0.66666657,0.4444447,0.6666667,0.29090908,0,0.98148227,0.6666667,1,16.325684,6,0.97314453
31,0,0.03173828,0.60287195,0.6666666,0.4444447,0.6666667,0.2982456,0,0.98148227,0.6666667,1,16.328125,6,0.97216797
32,0,0.032714844,0.6066806,0.6666666,0.4444447,0.6666667,0.30508474,0,0.98148227,0.6666667,1,16.326172,6,0.9711914
33,0,0.03466797,0.60397667,0.6666667,0.4444447,0.6666667,0.3,0,0.98148227,0.6666667,1,16.342285,6,0.9707031
34,0,0.03564453,0.6013614,0.6666667,0.4444447,0.6666667,0.29508197,0,0.98148227,0.6666667,1,16.34375,6,0.97021484
35,0,0.036621094,0.59637994,0.66666675,0.4444447,0.6666667,0.2857143,0,0.98148227,0.6666667,1,16.354492,6,0.9692383
36,0,0.037597656,0.591705,0.66666675,0.4444447,0.6666667,0.2769231,0,0.98148227,0.6666667,1,16.342773,6,0.9682617
37,0,0.03857422,0.58947384,0.6666668,0.4444447,0.6666667,0.27272728,0,0.98148227,0.6666667,1,16.353027,6,0.96777344
38,0,0.03955078,0.5852083,0.6666668,0.4444447,0.6666667,0.2647059,0,0.98148227,0.6666667,1,16.353027,6,0.9667969
39,0,0.040527344,0.58118653,0.66666687,0.4444447,0.6666667,0.25714287,0,0.98148227,0.6666667,1,16.345215,6,0.9658203
40,0,0.04248047,0.57738817,0.66666687,0.4444447,0.6666667,0.25,0,0.98148227,0.6666667,1,16.342773,6,0.96484375
41,0,0.04345703,0.57379514,0.6666669,0.4444447,0.6666667,0.24324325,0,0.98148227,0.6666667,1,16.331055,6,0.9638672
42,0,0.044433594,0.5703912,0.6666669,0.4444447,0.6666667,0.23684211,0,0.98148227,0.6666667,1,16.322754,6,0.9628906
43,0,0.044921875,0.56716186,0.666667,0.4444447,0.6666667,0.23076923,0,0.98148227,0.6666667,1,16.313965,6,0.96191406
44,0,0.045898438,0.56409395,0.666667,0.4444447,0.6666667,0.225,0,0.98148227,0.6666667,1,16.3125,6,0.9609375
45,0,0.046875,0.5626168,0.666667,0.4444447,0.6666667,0.22222222,0,0.98148227,0.6666667,1,16.317383,6,0.9604492
46,0,0.047851563,0.5597693,0.66666704,0.4444447,0.6666667,0.21686748,0,0.98148227,0.6666667,1,16.315918,6,0.95947266
47,0,0.048828125,0.5583964,0.66666704,0.4444447,0.6666667,0.21428572,0,0.98148227,0.6666667,1,16.30371,6,0.9589844
48,0,0.049804688,0.5557464,0.66666704,0.4444447,0.6666667,0.20930232,0,0.98148227,0.6666667,1,16.317383,6,0.9580078
49,0,0.05078125,0.5532169,0.66666704,0.4444447,0.6666667,0.20454545,0,0.98148227,0.6666667,1,16.3125,6,0.95703125
