%  label: Fitness-sharing, 17/03/23 00-10-39
%  population_size: 2048
%  mutation_rate: 0.45
%  max_generations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0
%  cuck_rate: 0.15
%  threads: 8
%  num_demes: 4
%  migration: 0.1
%  use_viscosity: true
%  outregs: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd

ITERATION,AVG-GEN,AVG-FIT,AVG-ABFIT,AVG-CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
1,0.0009765625,0.78234494,0.78234494,1,0,0.77861995,0.77861995,1,16.626465,13,0.99902344
2,0.001953125,0.7550287,0.7550287,1,0,0.70039636,0.70039636,1,16.644043,29,0.99853516
3,0.0029296875,0.76325953,0.76325953,1,0,0.6759711,0.6759711,1,16.65039,24,0.9975586
4,0.00390625,0.6723226,0.6723226,0.8333333,0,0.21763776,0.21763776,0,16.649902,18,0.9970703
5,0.0048828125,0.5992653,0.5992653,0.75,0,0.1434762,0.1434762,0,16.645996,8,0.99609375
6,0.005859375,0.5681075,0.5681075,0.7,0,0.1434762,0.1434762,0,16.639648,8,0.9951172
7,0.0068359375,0.51692325,0.51692325,0.5833333,0,0.1424809,0.1424809,0,16.65918,9,0.9941406
8,0.0073242188,0.5018832,0.5018832,0.5714286,0,0.105648935,0.105648935,0,16.653809,7,0.99316406
9,0.008300781,0.53869665,0.53869665,0.625,0,0.105648935,0.105648935,0,16.64746,7,0.9921875
10,0.009277344,0.55754936,0.55754936,0.6111111,0,0.105648935,0.105648935,0,16.658203,7,0.99121094
11,0.010253906,0.541276,0.541276,0.57894737,0,0.105648935,0.105648935,0,16.657715,7,0.99072266
12,0.011230469,0.5250941,0.5250941,0.55,0,0.105648935,0.105648935,0,16.65332,7,0.9902344
13,0.012207031,0.4962929,0.4962929,0.5,0,0.105648935,0.105648935,0,16.640137,7,0.9892578
14,0.013183594,0.4848622,0.4848622,0.5,0,0.105648935,0.105648935,0,16.629395,7,0.98828125
15,0.014160156,0.47116697,0.47116697,0.48,0,0.105648935,0.105648935,0,16.641602,7,0.98779297
16,0.015136719,0.45647946,0.45647946,0.44444445,0,0.105648935,0.105648935,0,16.638184,7,0.9868164
17,0.016113281,0.46741903,0.46741903,0.44827586,0,0.105648935,0.105648935,0,16.638184,7,0.98583984
18,0.017089844,0.47740865,0.47740865,0.4516129,0,0.105648935,0.105648935,0,16.643066,7,0.9848633
19,0.018066406,0.4921149,0.4921149,0.45454547,0,0.105648935,0.105648935,0,16.6333,7,0.9838867
20,0.019042969,0.49261218,0.49261218,0.45714286,0,0.105648935,0.105648935,0,16.639648,7,0.98291016
21,0.020019531,0.48637426,0.48637426,0.43243244,0,0.105648935,0.105648935,0,16.62793,7,0.9819336
22,0.020996094,0.47263855,0.47263855,0.41025642,0,0.105648935,0.105648935,0,16.63379,7,0.98095703
23,0.021972656,0.47119167,0.47119167,0.41463414,0,0.105648935,0.105648935,0,16.640625,7,0.97998047
24,0.022949219,0.45834342,0.45834342,0.39534885,0,0.105648935,0.105648935,0,16.63379,7,0.9790039
25,0.023925781,0.4699753,0.4699753,0.4,0,0.105648935,0.105648935,0,16.64209,7,0.97802734
26,0.024902344,0.47259277,0.47259277,0.40425533,0,0.105648935,0.105648935,0,16.645996,7,0.9770508
27,0.025878906,0.4777047,0.4777047,0.40816328,0,0.105648935,0.105648935,0,16.663574,7,0.9760742
28,0.026855469,0.471671,0.471671,0.39215687,0,0.105648935,0.105648935,0,16.659668,7,0.97509766
29,0.027832031,0.46678573,0.46678573,0.3846154,0,0.105648935,0.105648935,0,16.674316,7,0.9746094
30,0.028808594,0.46030477,0.46030477,0.37037036,0,0.105648935,0.105648935,0,16.661621,7,0.9736328
31,0.029785156,0.45031378,0.45031378,0.35714287,0,0.105648935,0.105648935,0,16.671875,7,0.97265625
32,0.030761719,0.450135,0.450135,0.3508772,0,0.105648935,0.105648935,0,16.668945,7,0.97216797
33,0.03173828,0.46619558,0.46619558,0.37288135,0,0.105648935,0.105648935,0,16.660156,7,0.9711914
34,0.033691406,0.47339123,0.47339123,0.39344263,0,0.105648935,0.105648935,0,16.644531,7,0.97021484
35,0.03564453,0.47285464,0.47285464,0.38709676,0,0.105648935,0.105648935,0,16.641113,7,0.96972656
36,0.036621094,0.47183177,0.47183177,0.375,0,0.105648935,0.105648935,0,16.64746,7,0.96875
37,0.037597656,0.47134393,0.47134393,0.36923078,0,0.105648935,0.105648935,0,16.640625,7,0.9682617
38,0.03857422,0.4703081,0.4703081,0.37313432,0,0.105648935,0.105648935,0,16.649414,7,0.96728516
39,0.03955078,0.46190953,0.46190953,0.36231884,0,0.105648935,0.105648935,0,16.648926,7,0.9663086
40,0.040527344,0.45658487,0.45658487,0.35211268,0,0.105648935,0.105648935,0,16.638184,7,0.96533203
