%  label: Unnamed trial, 17/03/22 02-30-00
%  population_size: 1024
%  mutation_rate: 0.45
%  max_generations: 200000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0
%  cuck_rate: 0.15
%  threads: 8
%  num_demes: 4
%  migration: 0.1
%  use_viscosity: true
%  outregs: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd

ITERATION,AVG-GEN,AVG-FIT,AVG-CRASH,BEST-GEN,BEST-FIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
1,0.001953125,0.76560843,1,0,0.7415453,1,16.888672,11,0.9980469
2,0.00390625,0.75758743,1,0,0.7415453,1,16.871094,11,0.9970703
3,0.005859375,0.7781871,1,0,0.7415453,1,16.86621,11,0.9951172
4,0.0078125,0.76771796,1,0,0.7415453,1,16.857422,11,0.99316406
5,0.009765625,0.77655727,1,0,0.7214552,1,16.868164,27,0.99121094
6,0.01171875,0.76812536,1,0,0.71881807,1,16.875977,22,0.9892578
7,0.013671875,0.7705259,1,0,0.6977908,1,16.875977,17,0.9873047
8,0.015625,0.76131296,1,0,0.64154536,1,16.874023,9,0.9863281
9,0.017578125,0.76728475,1,0,0.64154536,1,16.889648,9,0.984375
10,0.01953125,0.76442486,1,0,0.64154536,1,16.916016,9,0.9824219
11,0.021484375,0.76213694,1,0,0.64154536,1,16.907227,9,0.98046875
12,0.0234375,0.760265,1,0,0.64154536,1,16.950195,9,0.9785156
13,0.025390625,0.757884,1,0,0.64154536,1,16.949219,9,0.9765625
14,0.02734375,0.7541304,1,0,0.64154536,1,16.9375,9,0.9746094
15,0.029296875,0.7446123,0.96428573,0,0.500209,0,16.911133,3,0.97265625
16,0.03125,0.7281164,0.93333334,0,0.25810552,0,16.876953,24,0.9707031
17,0.033203125,0.7368868,0.9354839,0,0.25810552,0,16.881836,24,0.96972656
18,0.03515625,0.7460641,0.93939394,0,0.25810552,0,16.847656,24,0.96777344
19,0.037109375,0.7458059,0.94285715,0,0.25810552,0,16.878906,24,0.9658203
20,0.0390625,0.74568754,0.9444444,0,0.25810552,0,16.889648,24,0.96484375
21,0.041015625,0.74546957,0.94736844,0,0.25810552,0,16.885742,24,0.9628906
22,0.04296875,0.7474183,0.95,0,0.25810552,0,16.874023,24,0.9609375
23,0.044921875,0.7471386,0.95238096,0,0.25810552,0,16.858398,24,0.9589844
24,0.046875,0.74589,0.95454544,0,0.25810552,0,16.845703,24,0.95703125
25,0.048828125,0.74727046,0.95555556,0,0.25810552,0,16.838867,24,0.9560547
26,0.05078125,0.74702686,0.9574468,0,0.25810552,0,16.808594,24,0.95410156
27,0.052734375,0.7469127,0.9583333,0,0.25810552,0,16.785156,24,0.953125
28,0.0546875,0.74942327,0.96,0,0.25810552,0,16.80664,24,0.9511719
29,0.056640625,0.7505449,0.96153843,0,0.25810552,0,16.829102,24,0.94921875
30,0.05859375,0.73146445,0.9259259,0,0.17720826,0,16.782227,23,0.9472656
31,0.060546875,0.7195476,0.91071427,0,0.0977908,0,16.801758,18,0.9453125
32,0.060546875,0.69937617,0.87931037,0,0.0069491905,0,16.791016,22,0.9433594
33,0.0625,0.70447147,0.88135594,0,0.0069491905,0,16.77539,22,0.9423828
34,0.064453125,0.705687,0.8852459,0,0.0069491905,0,16.75879,22,0.9404297
35,0.06640625,0.7094056,0.8888889,0,0.0069491905,0,16.75293,22,0.93847656
36,0.068359375,0.7100449,0.8923077,0,0.0069491905,0,16.763672,22,0.93652344
37,0.0703125,0.7103322,0.8955224,0,0.0069491905,0,16.773438,22,0.9345703
38,0.072265625,0.7094026,0.89855075,0,0.0069491905,0,16.783203,22,0.9326172
39,0.07421875,0.70399797,0.8873239,0,0.0069491905,0,16.802734,22,0.93066406
40,0.076171875,0.69865805,0.8767123,0,0.0069491905,0,16.760742,22,0.92871094
41,0.078125,0.6968076,0.8767123,0,0.0069491905,0,16.750977,22,0.92871094
42,0.080078125,0.69800067,0.88,0,0.0069491905,0,16.780273,22,0.9267578
43,0.08203125,0.7005332,0.8831169,0,0.0069491905,0,16.779297,22,0.9248047
44,0.083984375,0.70157146,0.886076,0,0.0069491905,0,16.805664,22,0.92285156
45,0.0859375,0.7025585,0.8888889,0,0.0069491905,0,16.799805,22,0.92089844
46,0.087890625,0.70250034,0.8902439,0,0.0069491905,0,16.80371,22,0.9199219
47,0.08984375,0.69628716,0.88095236,0,0.0069491905,0,16.824219,22,0.91796875
48,0.091796875,0.68976074,0.87058824,0,0.0069491905,0,16.81543,22,0.9169922
49,0.095703125,0.6945667,0.87356323,0,0.0069491905,0,16.848633,22,0.91503906
50,0.099609375,0.6921636,0.875,0,0.0069491905,0,16.859375,22,0.9140625
51,0.10253906,0.6921045,0.8764045,0,0.0069491905,0,16.832031,22,0.91308594
52,0.10449219,0.6931911,0.8791209,0,0.0069491905,0,16.82129,22,0.9111328
53,0.10644531,0.6877794,0.87096775,0,0.0069491905,0,16.802734,22,0.9091797
54,0.107421875,0.6819684,0.86170214,0,0.0069491905,0,16.80371,22,0.9082031
55,0.109375,0.6721167,0.84375,0,0.0069491905,0,16.807617,22,0.90625
56,0.111328125,0.6674112,0.8367347,0,0.0069491905,0,16.832031,22,0.9042969
57,0.11328125,0.6685202,0.83838385,0,0.0069491905,0,16.850586,22,0.9033203
58,0.115234375,0.6685202,0.8181818,0,0.0069491905,0,16.84668,22,0.9033203
59,0.11621094,0.66777503,0.8061224,0,0.0069491905,0,16.847656,22,0.9042969
60,0.1171875,0.66399485,0.7979798,0,0.0069491905,0,16.83789,22,0.9033203
61,0.119140625,0.66012114,0.78,0,0.0069491905,0,16.804688,22,0.90234375
62,0.123046875,0.65583533,0.7745098,0,0.0069491905,0,16.800781,22,0.9003906
63,0.12695313,0.6517144,0.7692308,0,0.0069491905,0,16.798828,22,0.8984375
64,0.12890625,0.64722836,0.7641509,0,0.0069491905,0,16.797852,22,0.8964844
65,0.13085938,0.64722836,0.754717,0,0.0069491905,0,16.801758,22,0.8964844
66,0.13476563,0.648975,0.7592593,0,0.0069491905,0,16.83789,22,0.89453125
67,0.13671875,0.6506581,0.76363635,0,0.0069491905,0,16.829102,22,0.8925781
68,0.13769531,0.6522811,0.76785713,0,0.0069491905,0,16.84082,22,0.890625
69,0.13964844,0.65211606,0.7699115,0,0.0069491905,0,16.842773,22,0.88964844
70,0.14160156,0.6525167,0.7719298,0,0.0069491905,0,16.87207,22,0.8886719
71,0.14355469,0.6525167,0.7631579,0,0.0069491905,0,16.896484,22,0.8886719
